Epoch: 53, Avg Waypoints: 1687.83, Weight: 1.24000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 54, Avg Waypoints: 1718.38, Weight: 1.32000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 55, Avg Waypoints: 1727.61, Weight: 1.40000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 56, Avg Waypoints: 1726.34, Weight: 1.48000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 57, Avg Waypoints: 1749.55, Weight: 1.56000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 58, Avg Waypoints: 1731.58, Weight: 1.64000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 59, Avg Waypoints: 1766.83, Weight: 1.72000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 60, Avg Waypoints: 1757.93, Weight: 1.80000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 61, Avg Waypoints: 1789.38, Weight: 1.88000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 62, Avg Waypoints: 1770.58, Weight: 1.96000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 63, Avg Waypoints: 1764.83, Weight: 2.04000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 64, Avg Waypoints: 1723.76, Weight: 2.12000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 65, Avg Waypoints: 1751.97, Weight: 2.20000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 66, Avg Waypoints: 1722.44, Weight: 2.28000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 67, Avg Waypoints: 1716.20, Weight: 2.36000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 68, Avg Waypoints: 1719.20, Weight: 2.44000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 69, Avg Waypoints: 1737.56, Weight: 2.52000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 70, Avg Waypoints: 1740.16, Weight: 2.60000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 71, Avg Waypoints: 1778.10, Weight: 2.68000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 72, Avg Waypoints: 1762.20, Weight: 2.76000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 73, Avg Waypoints: 1771.68, Weight: 2.84000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 74, Avg Waypoints: 1766.46, Weight: 2.92000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 75, Avg Waypoints: 1761.42, Weight: 3.00000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 76, Avg Waypoints: 1794.54, Weight: 3.08000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 77, Avg Waypoints: 1779.46, Weight: 3.16000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 78, Avg Waypoints: 1771.99, Weight: 3.24000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 79, Avg Waypoints: 1812.26, Weight: 3.32000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 80, Avg Waypoints: 1802.23, Weight: 3.40000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 81, Avg Waypoints: 1794.81, Weight: 3.48000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 82, Avg Waypoints: 1810.90, Weight: 3.56000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 83, Avg Waypoints: 1803.31, Weight: 3.64000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 84, Avg Waypoints: 1784.42, Weight: 3.72000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
Epoch: 85, Avg Waypoints: 1766.76, Weight: 3.80000, Best Num Waypoints: 1681.60, Best Weight: 0.93878
